timestamp,server_id,cpu_util,mem_util,latency_ms,error_rate,traffic_rps,incident_type,severity
2025-06-02 00:00:00,srv-00,17.577,42.913,102.69,0.018801,293.8,normal,none
2025-06-02 00:05:00,srv-00,20.941,42.573,109.55,0.019145,295.05,normal,none
2025-06-02 00:10:00,srv-00,24.419,42.689,97.25,0.019355,249.39,normal,none
2025-06-02 00:15:00,srv-00,24.18,44.57,88.83,0.042549,260.81,normal,none
2025-06-02 00:20:00,srv-00,22.255,44.112,83.45,0.020591,278.95,normal,none
2025-06-02 00:25:00,srv-00,21.742,44.684,80.94,0.029465,266.95,normal,none
2025-06-02 00:30:00,srv-00,18.498,42.157,86.86,0.020507,247.73,normal,none
2025-06-02 00:35:00,srv-00,16.235,42.065,94.56,0.022911,240.13,normal,none
2025-06-02 00:40:00,srv-00,26.467,38.901,110.75,0.019961,283.36,normal,none
2025-06-02 00:45:00,srv-00,24.582,38.791,103.44,0.028936,313.22,normal,none
2025-06-02 00:50:00,srv-00,25.362,38.229,105.88,0.023236,299.55,normal,none
2025-06-02 00:55:00,srv-00,24.27,37.657,99.33,0.038617,317.77,normal,none
2025-06-02 01:00:00,srv-00,28.702,37.324,107.61,0.01838,296.32,normal,none
2025-06-02 01:05:00,srv-00,21.573,37.373,102.82,0.028579,315.85,normal,none
2025-06-02 01:10:00,srv-00,25.936,40.512,89.04,0.029142,279.24,normal,none
2025-06-02 01:15:00,srv-00,26.774,41.856,100.86,0.023438,259.89,normal,none
2025-06-02 01:20:00,srv-00,27.845,43.491,94.37,0.02214,305.27,normal,none
2025-06-02 01:25:00,srv-00,25.954,42.989,95.07,0.028519,288.53,normal,none
2025-06-02 01:30:00,srv-00,24.539,45.166,92.67,0.024841,316.45,normal,none
2025-06-02 01:35:00,srv-00,20.919,46.113,88.85,0.030006,293.45,normal,none
2025-06-02 01:40:00,srv-00,18.359,45.714,92.39,0.020344,286.07,normal,none
2025-06-02 01:45:00,srv-00,21.515,44.618,90.75,0.019723,273.24,normal,none
